DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,K0,RHO_FLUID,K_FLUID,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2100.1208,2379.6,948.0,2.2562,91.5983,0.4117,2.2564160000000046,1.0,0.8816797900262464,2.510126582278481,5369.367513600011,2139.082368000005,0.4904423551888328,2.728470776830213,1.09,0.2881069247652043,4,20.123831733673036,1.09,2.8,2379.6,948.0,2.2564160000000046,4,2379.6,948.0,2.2564160000000046,4,2379.6,948.0,2.2564160000000046,4,5369.367513600011,5369.367513600011,5369.367513600011,2.510126582278481,2.510126582278481,2.510126582278481,1.0
2100.2732,2386.1,942.7,2.2579,94.3741,0.4241,2.2594640000000035,1.0,0.886767564018398,2.5311339768749335,5391.307050400008,2129.996712800003,0.5219339694885987,2.733509435118176,1.09,0.2884348729547065,4,19.343703547646726,1.09,2.8,2386.1,942.7,2.2594640000000035,4,2386.1,942.7,2.2594640000000035,4,2386.1,942.7,2.2594640000000035,4,5391.307050400008,5391.307050400008,5391.307050400008,2.5311339768749335,2.5311339768749335,2.5311339768749335,1.0
2100.4255,2386.0,944.2,2.2622,94.2315,0.4307,2.265314999999969,1.0,0.906035386631705,2.527006990044482,5405.041589999926,2138.9104229999707,0.5203161640994689,2.733250586255916,1.09,0.2847621599345475,4,19.4481390887443,1.09,2.8,2386.0,944.2,2.265314999999969,4,2386.0,944.2,2.265314999999969,4,2386.0,944.2,2.265314999999969,4,5405.041589999926,5405.041589999926,5405.041589999926,2.527006990044482,2.527006990044482,2.527006990044482,1.0
2100.5779,2394.3,989.2,2.275,92.6377,0.4179,2.278895000000015,1.0,0.9385508864084628,2.420440760210271,5456.358298500037,2254.282934000015,0.5022344093365295,2.7303575054938447,1.09,0.2752220195791483,4,20.052662597822142,1.09,2.8,2394.3,989.2,2.278895000000015,4,2394.3,989.2,2.278895000000015,4,2394.3,989.2,2.278895000000015,4,5456.358298500037,5456.358298500037,5456.358298500037,2.420440760210271,2.420440760210271,2.420440760210271,1.0
2100.7305,2372.0,984.0,2.2854,92.4617,0.4056,2.286220000000008,1.0,0.983700787401614,2.410569105691057,5422.913840000019,2249.640480000008,0.5002376789824843,2.7300380286371984,1.09,0.2706144741082523,4,20.17865839021654,1.09,2.8,2372.0,984.0,2.286220000000008,4,2372.0,984.0,2.286220000000008,4,2372.0,984.0,2.286220000000008,4,5422.913840000019,5422.913840000019,5422.913840000019,2.410569105691057,2.410569105691057,2.410569105691057,1.0
2100.8828,2362.2000000000007,984.0,2.2894,92.6755,0.4138,2.2861020000000085,1.0,1.0,2.4006097560975617,5400.230144400021,2249.5243680000085,0.5026632525602961,2.730426120409647,1.09,0.270858964558966,4,20.11561411123259,1.09,2.8,2362.2000000000007,984.0,2.2861020000000085,4,2362.2000000000007,984.0,2.2861020000000085,4,2362.2000000000007,984.0,2.2861020000000085,4,5400.230144400021,5400.230144400021,5400.230144400021,2.4006097560975617,2.4006097560975617,2.4006097560975617,1.0
2101.0352,2360.0,981.0,2.2818,96.884,0.4162,2.2763680000000264,1.0,0.99134796854525,2.405708460754332,5372.2284800000625,2233.117008000026,0.5504089326455203,2.738065429223284,1.09,0.2801450846771601,4,18.809815318266097,1.09,2.8,2360.0,981.0,2.2763680000000264,4,2360.0,981.0,2.2763680000000264,4,2360.0,981.0,2.2763680000000264,4,5372.2284800000625,5372.2284800000625,5372.2284800000625,2.405708460754332,2.405708460754332,2.405708460754332,1.0
2101.1875,2371.8,974.4,2.2656,96.7039,0.4293,2.263375000000001,1.0,0.9809724409448978,2.434113300492611,5368.272825000003,2205.432600000001,0.5483656875502728,2.737738510008044,1.09,0.2878876151324078,4,18.71723154128712,1.09,2.8,2371.8,974.4,2.263375000000001,4,2371.8,974.4,2.263375000000001,4,2371.8,974.4,2.263375000000001,4,5368.272825000003,5368.272825000003,5368.272825000003,2.434113300492611,2.434113300492611,2.434113300492611,1.0
2101.3401,2379.6,977.9,2.2601,99.7031,0.4224,2.2579950000000126,1.0,0.9986408404464868,2.433377645976071,5373.12490200003,2208.093310500012,0.5823917879926167,2.7431826860788187,1.09,0.2934870357429293,4,17.807323070529442,1.09,2.8,2379.6,977.9,2.2579950000000126,4,2379.6,977.9,2.2579950000000126,4,2379.6,977.9,2.2579950000000126,4,5373.12490200003,5373.12490200003,5373.12490200003,2.433377645976071,2.433377645976071,2.433377645976071,1.0
2101.4924,2388.2,1008.4,2.2553,96.436,0.4463,2.255,1.0,0.9756480630334308,2.3683062276874254,5385.391,2273.942,0.5453263462897687,2.7372522154063628,1.09,0.2927616128823329,4,18.70009176300446,1.09,2.8,2388.2,1008.4,2.255,4,2388.2,1008.4,2.255,4,2388.2,1008.4,2.255,4,5385.391,5385.391,5385.391,2.3683062276874254,2.3683062276874254,2.3683062276874254,1.0
2101.6448,2413.3,1008.4,2.2551,94.0508,0.4262,2.2541039999999968,1.0,0.9143866317168836,2.3931971439904802,5439.829183199992,2273.038473599997,0.5182661119689236,2.732922577915028,1.09,0.2914431783649123,4,19.379394146122173,1.09,2.8,2413.3,1008.4,2.2541039999999968,4,2413.3,1008.4,2.2541039999999968,4,2413.3,1008.4,2.2541039999999968,4,5439.829183199992,5439.829183199992,5439.829183199992,2.3931971439904802,2.3931971439904802,2.3931971439904802,1.0
2101.7971,2433.5,1015.3,2.2528,90.4815,0.3969,2.257854999999992,1.0,0.9013346456692374,2.396828523589087,5494.490142499981,2292.4001814999915,0.4777721934877093,2.7264435509580336,1.09,0.2863456858525389,4,20.470306070850505,1.09,2.8,2433.5,1015.3,2.257854999999992,4,2433.5,1015.3,2.257854999999992,4,2433.5,1015.3,2.257854999999992,4,5494.490142499981,5494.490142499981,5494.490142499981,2.396828523589087,2.396828523589087,2.396828523589087,1.0
2101.9497,2430.5,994.5,2.2629,89.3341,0.3771,2.2642425000000017,1.0,0.924690085357864,2.443941679235797,5503.241396250004,2251.789166250002,0.464754872986394,2.724360779677822,1.09,0.281527974361036,4,20.877809590241796,1.09,2.8,2430.5,994.5,2.2642425000000017,4,2430.5,994.5,2.2642425000000017,4,2430.5,994.5,2.2642425000000017,4,5503.241396250004,5503.241396250004,5503.241396250004,2.443941679235797,2.443941679235797,2.443941679235797,1.0
2102.1021,2416.3,987.3,2.2683,88.8499,0.391,2.2682520000000186,1.0,0.9544763779528244,2.447381748202168,5480.777307600045,2239.4451996000184,0.4592615955010035,2.7234818552801605,1.09,0.2786868147990936,4,21.062786681912417,1.09,2.8,2416.3,987.3,2.2682520000000186,4,2416.3,987.3,2.2682520000000186,4,2416.3,987.3,2.2682520000000186,4,5480.777307600045,5480.777307600045,5480.777307600045,2.447381748202168,2.447381748202168,2.447381748202168,1.0
2102.2544,2400.4,1009.1,2.2804,86.8039,0.4082,2.2827199999999954,1.0,0.9884471437951372,2.3787533445644633,5479.44108799999,2303.492751999996,0.4360496051352274,2.7197679368216363,1.09,0.2681657473725794,4,21.818392271500578,1.09,2.8,2400.4,1009.1,2.2827199999999954,4,2400.4,1009.1,2.2827199999999954,4,2400.4,1009.1,2.2827199999999954,4,5479.44108799999,5479.44108799999,5479.44108799999,2.3787533445644633,2.3787533445644633,2.3787533445644633,1.0
2102.4067,2380.1,986.2,2.29,86.13799999999998,0.4057,2.2897320000000034,1.0,1.0,2.4134049888460756,5449.791133200008,2258.133698400003,0.4284949304604619,2.718559188873673,1.09,0.2633169195221276,4,22.085110574036882,1.09,2.8,2380.1,986.2,2.2897320000000034,4,2380.1,986.2,2.2897320000000034,4,2380.1,986.2,2.2897320000000034,4,5449.791133200008,5449.791133200008,5449.791133200008,2.4134049888460756,2.4134049888460756,2.4134049888460756,1.0
2102.5591,2367.5,986.2,2.2863,86.8705,0.4112,2.2792035000000004,1.0,0.9885121470781314,2.400628675725005,5396.014286250001,2247.7504917,0.4368051860532923,2.719888829768528,1.09,0.2703775384675234,4,21.765222469533057,1.09,2.8,2367.5,986.2,2.2792035000000004,4,2367.5,986.2,2.2792035000000004,4,2367.5,986.2,2.2792035000000004,4,5396.014286250001,5396.014286250001,5396.014286250001,2.400628675725005,2.400628675725005,2.400628675725005,1.0
2102.7117,2348.9,985.3,2.263,87.9711,0.4093,2.260309000000005,1.0,0.9749094488188516,2.383943976453872,5309.239810100012,2227.082457700005,0.449291557801373,2.72188664924822,1.09,0.2828490872579019,4,21.249696966331562,1.09,2.8,2348.9,985.3,2.260309000000005,4,2348.9,985.3,2.260309000000005,4,2348.9,985.3,2.260309000000005,4,5309.239810100012,5309.239810100012,5309.239810100012,2.383943976453872,2.383943976453872,2.383943976453872,1.0
2102.864,2349.8,983.8,2.2401,86.831,0.4221,2.2348800000000075,1.0,0.9986408404464868,2.3884935962594027,5251.521024000018,2198.674944000007,0.4363570562295151,2.7198171289967226,1.09,0.29754082244505,4,21.34740030501877,1.09,2.8,2349.8,983.8,2.2348800000000075,4,2349.8,983.8,2.2348800000000075,4,2349.8,983.8,2.2348800000000075,4,5251.521024000018,5251.521024000018,5251.521024000018,2.3884935962594027,2.3884935962594027,2.3884935962594027,1.0
2103.0164,2352.9,985.1,2.2241,89.1146,0.4243,2.224164,1.0,0.9653918741809994,2.3884884783270732,5233.2354756,2191.0239564,0.4622646325732522,2.72396234121172,1.09,0.3058811874703781,4,20.53303744153566,1.09,2.8,2352.9,985.1,2.224164,4,2352.9,985.1,2.224164,4,2352.9,985.1,2.224164,4,5233.2354756,5233.2354756,5233.2354756,2.3884884783270732,2.3884884783270732,2.3884884783270732,1.0
2103.1687,2358.1,931.5,2.2249,87.9305,0.4231,2.2322135000000176,1.0,0.8776496062991841,2.531508319914117,5263.782654350041,2079.306875250016,0.4488309484128829,2.721812951746061,1.09,0.3000340518330644,4,20.980453180694575,1.09,2.8,2358.1,931.5,2.2322135000000176,4,2358.1,931.5,2.2322135000000176,4,2358.1,931.5,2.2322135000000176,4,5263.782654350041,5263.782654350041,5263.782654350041,2.531508319914117,2.531508319914117,2.531508319914117,1.0
2103.3213,2365.2000000000007,931.5,2.246,89.1956,0.3995,2.2508989999999773,1.0,0.8582147078135515,2.5391304347826096,5323.826314799948,2096.712418499979,0.4631835823384662,2.724109373174154,1.09,0.2895830480765162,4,20.784999036091428,1.09,2.8,2365.2000000000007,931.5,2.2508989999999773,4,2365.2000000000007,931.5,2.2508989999999773,4,2365.2000000000007,931.5,2.2508989999999773,4,5323.826314799948,5323.826314799948,5323.826314799948,2.5391304347826096,2.5391304347826096,2.5391304347826096,1.0
2103.4736,2368.7,982.4,2.2686,88.1013,0.3855,2.2734159999999872,1.0,0.8996231122783855,2.411135993485342,5385.040479199969,2233.403878399988,0.4507686844610132,2.722122989513762,1.09,0.2749222898008762,4,21.338217615973413,1.09,2.8,2368.7,982.4,2.2734159999999872,4,2368.7,982.4,2.2734159999999872,4,2368.7,982.4,2.2734159999999872,4,5385.040479199969,5385.040479199969,5385.040479199969,2.411135993485342,2.411135993485342,2.411135993485342,1.0
2103.626,2365.600000000001,972.6,2.281,88.3197,0.4017,2.277879999999962,1.0,0.9386022280471908,2.4322434711083702,5388.552927999912,2215.4660879999637,0.4532464453094421,2.7225194312495105,1.09,0.2723639441824146,4,21.315760262916058,1.09,2.8,2365.600000000001,972.6,2.277879999999962,4,2365.600000000001,972.6,2.277879999999962,4,2365.600000000001,972.6,2.277879999999962,4,5388.552927999912,5388.552927999912,5388.552927999912,2.4322434711083702,2.4322434711083702,2.4322434711083702,1.0
2103.7783,2355.9,973.5,2.2686,91.8008,0.4225,2.261169999999998,1.0,0.9333897637795104,2.420030816640986,5327.090402999996,2201.2489949999976,0.4927397296018678,2.728838356736299,1.09,0.2853657621656167,4,20.113697872635257,1.09,2.8,2355.9,973.5,2.261169999999998,4,2355.9,973.5,2.261169999999998,4,2355.9,973.5,2.261169999999998,4,5327.090402999996,5327.090402999996,5327.090402999996,2.420030816640986,2.420030816640986,2.420030816640986,1.0
