DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,K0,RHO_FLUID,K_FLUID,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2013.2528,2294.7000000000007,876.9,1.9972,91.8785,0.4908,,,,2.616832021895314,,,0.4936212406729436,2.7289793985076707,,,4,,,,2294.7000000000007,876.9,,4,2294.7000000000007,876.9,,4,2294.7000000000007,876.9,,4,,,,2.616832021895314,2.616832021895314,2.616832021895314,1.0
2013.4052,2296.7,943.0,2.0455,86.8004,0.4833,2.240103999999997,1.0,1.0,2.435524920466596,5144.846856799993,2112.4180719999968,0.4360098974293231,2.719761583588692,1.09,0.2943115044671145,4,21.40891760697636,1.09,2.8,2296.7,943.0,2.240103999999997,4,2296.7,943.0,2.240103999999997,4,2296.7,943.0,2.240103999999997,4,5144.846856799993,5144.846856799993,5144.846856799993,2.435524920466596,2.435524920466596,2.435524920466596,1.0
2013.5576,2290.4,912.5,2.1122,86.0021,0.4474,2.2422880000000003,1.0,1.0,2.510027397260274,5135.7364352,2046.0878,0.4269531369654917,2.7183125019144785,1.09,0.2923422262955024,4,21.678245658148736,1.09,2.8,2290.4,912.5,2.2422880000000003,4,2290.4,912.5,2.2422880000000003,4,2290.4,912.5,2.2422880000000003,4,5135.7364352,5135.7364352,5135.7364352,2.510027397260274,2.510027397260274,2.510027397260274,1.0
2013.71,2277.5,891.5999999999997,2.196,87.35700000000001,0.414,2.2428,1.0,1.0,2.554396590399283,5107.977,1999.68048,0.4423245571739912,2.7207719291478387,1.09,0.2930955093135577,4,21.26393165305526,1.09,2.8,2277.5,891.5999999999997,2.2428,4,2277.5,891.5999999999997,2.2428,4,2277.5,891.5999999999997,2.2428,4,5107.977,5107.977,5107.977,2.554396590399283,2.554396590399283,2.554396590399283,1.0
2013.8624,2262.0,890.5,2.202,90.4024,0.4293,2.240064,1.0,1.0,2.54014598540146,5067.024767999999,1994.7769920000003,0.476874799334272,2.726299967893484,1.09,0.2971557644894703,4,20.30919034948713,1.09,2.8,2262.0,890.5,2.240064,4,2262.0,890.5,2.240064,4,2262.0,890.5,2.240064,4,5067.024767999999,5067.024767999999,5067.024767999999,2.54014598540146,2.54014598540146,2.54014598540146,1.0
2014.0148,2263.1,863.1,2.1667,93.3074,0.4746,2.2374080000000025,1.0,1.0,2.6220600162206,5063.478044800006,1931.106844800002,0.5098321952348484,2.731573151237576,1.09,0.3010314531917289,4,19.41460670945837,1.09,2.8,2263.1,863.1,2.2374080000000025,4,2263.1,863.1,2.2374080000000025,4,2263.1,863.1,2.2374080000000025,4,5063.478044800006,5063.478044800006,5063.478044800006,2.6220600162206,2.6220600162206,2.6220600162206,1.0
2014.1672,2256.7,817.5,2.137,91.9733,0.501,2.234,1.0,1.0,2.760489296636085,5041.467799999999,1826.295,0.4946967522500087,2.7291514803600005,1.09,0.3020779264715992,4,19.773483866958458,1.09,2.8,2256.7,817.5,2.234,4,2256.7,817.5,2.234,4,2256.7,817.5,2.234,4,5041.467799999999,5041.467799999999,5041.467799999999,2.760489296636085,2.760489296636085,2.760489296636085,1.0
2014.3196,2248.9,810.6,2.1302,88.62700000000002,0.473,2.2338039999999992,1.0,1.0,2.7743646681470517,5023.601815599998,1810.7215223999997,0.4567327818878404,2.723077245102054,1.09,0.2996020222371535,4,20.78289528235898,1.09,2.8,2248.9,810.6,2.2338039999999992,4,2248.9,810.6,2.2338039999999992,4,2248.9,810.6,2.2338039999999992,4,5023.601815599998,5023.601815599998,5023.601815599998,2.7743646681470517,2.7743646681470517,2.7743646681470517,1.0
2014.472,2239.1,790.2,2.1424,84.5827,0.4236,2.2322800000000003,1.0,1.0,2.833586433814224,4998.298148000001,1763.9476560000005,0.4108499604624699,2.715735993673995,1.09,0.2973766931132738,4,22.02690039662576,1.09,2.8,2239.1,790.2,2.2322800000000003,4,2239.1,790.2,2.2322800000000003,4,2239.1,790.2,2.2322800000000003,4,4998.298148000001,4998.298148000001,4998.298148000001,2.833586433814224,2.833586433814224,2.833586433814224,1.0
2014.6244,2242.9,725.3,2.2003,84.5907,0.4114,2.2302680000000006,1.0,1.0,3.092375568730181,5002.268097200002,1617.6133804000006,0.4109407209331084,2.7157505153492973,1.09,0.2986205514103678,4,22.004906909544715,1.09,2.8,2242.9,725.3,2.2302680000000006,4,2242.9,725.3,2.2302680000000006,4,2242.9,725.3,2.2302680000000006,4,5002.268097200002,5002.268097200002,5002.268097200002,3.092375568730181,3.092375568730181,3.092375568730181,1.0
